country_region,sub_region_1,date,type,values
Argentina,CABA,2020-02-15,retail_and_recreation,6
Argentina,CABA,2020-02-15,grocery_and_pharmacy,1
Argentina,CABA,2020-02-15,parks,6
Argentina,CABA,2020-02-15,transit_stations,9
Argentina,CABA,2020-02-15,workplaces,-2
Argentina,CABA,2020-02-15,residential,0
Argentina,CABA,2020-02-16,retail_and_recreation,2
Argentina,CABA,2020-02-16,grocery_and_pharmacy,-2
Argentina,CABA,2020-02-16,parks,-15
Argentina,CABA,2020-02-16,transit_stations,3
Argentina,CABA,2020-02-16,workplaces,-9
Argentina,CABA,2020-02-16,residential,2
Argentina,CABA,2020-02-17,retail_and_recreation,-9
Argentina,CABA,2020-02-17,grocery_and_pharmacy,-14
Argentina,CABA,2020-02-17,parks,-27
Argentina,CABA,2020-02-17,transit_stations,2
Argentina,CABA,2020-02-17,workplaces,4
Argentina,CABA,2020-02-17,residential,2
Argentina,CABA,2020-02-18,retail_and_recreation,9
Argentina,CABA,2020-02-18,grocery_and_pharmacy,9
Argentina,CABA,2020-02-18,parks,23
Argentina,CABA,2020-02-18,transit_stations,11
Argentina,CABA,2020-02-18,workplaces,7
Argentina,CABA,2020-02-18,residential,-1
Argentina,CABA,2020-02-19,retail_and_recreation,8
Argentina,CABA,2020-02-19,grocery_and_pharmacy,5
Argentina,CABA,2020-02-19,parks,29
Argentina,CABA,2020-02-19,transit_stations,10
Argentina,CABA,2020-02-19,workplaces,6
Argentina,CABA,2020-02-19,residential,-2
Argentina,CABA,2020-02-20,retail_and_recreation,3
Argentina,CABA,2020-02-20,grocery_and_pharmacy,2
Argentina,CABA,2020-02-20,parks,-2
Argentina,CABA,2020-02-20,transit_stations,7
Argentina,CABA,2020-02-20,workplaces,5
Argentina,CABA,2020-02-20,residential,0
Argentina,CABA,2020-02-21,retail_and_recreation,3
Argentina,CABA,2020-02-21,grocery_and_pharmacy,2
Argentina,CABA,2020-02-21,parks,-2
Argentina,CABA,2020-02-21,transit_stations,10
Argentina,CABA,2020-02-21,workplaces,5
Argentina,CABA,2020-02-21,residential,0
Argentina,CABA,2020-02-22,retail_and_recreation,6
Argentina,CABA,2020-02-22,grocery_and_pharmacy,4
Argentina,CABA,2020-02-22,parks,3
Argentina,CABA,2020-02-22,transit_stations,8
Argentina,CABA,2020-02-22,workplaces,-3
Argentina,CABA,2020-02-22,residential,0
Argentina,CABA,2020-02-23,retail_and_recreation,18
Argentina,CABA,2020-02-23,grocery_and_pharmacy,6
Argentina,CABA,2020-02-23,parks,17
Argentina,CABA,2020-02-23,transit_stations,9
Argentina,CABA,2020-02-23,workplaces,-6
Argentina,CABA,2020-02-23,residential,1
Argentina,CABA,2020-02-24,retail_and_recreation,-22
Argentina,CABA,2020-02-24,grocery_and_pharmacy,-21
Argentina,CABA,2020-02-24,parks,18
Argentina,CABA,2020-02-24,transit_stations,-41
Argentina,CABA,2020-02-24,workplaces,-70
Argentina,CABA,2020-02-24,residential,9
Argentina,CABA,2020-02-25,retail_and_recreation,-32
Argentina,CABA,2020-02-25,grocery_and_pharmacy,-17
Argentina,CABA,2020-02-25,parks,5
Argentina,CABA,2020-02-25,transit_stations,-44
Argentina,CABA,2020-02-25,workplaces,-69
Argentina,CABA,2020-02-25,residential,11
Argentina,CABA,2020-02-26,retail_and_recreation,3
Argentina,CABA,2020-02-26,grocery_and_pharmacy,7
Argentina,CABA,2020-02-26,parks,16
Argentina,CABA,2020-02-26,transit_stations,11
Argentina,CABA,2020-02-26,workplaces,8
Argentina,CABA,2020-02-26,residential,-2
Argentina,CABA,2020-02-27,retail_and_recreation,4
Argentina,CABA,2020-02-27,grocery_and_pharmacy,6
Argentina,CABA,2020-02-27,parks,4
Argentina,CABA,2020-02-27,transit_stations,10
Argentina,CABA,2020-02-27,workplaces,7
Argentina,CABA,2020-02-27,residential,0
Argentina,CABA,2020-02-28,retail_and_recreation,7
Argentina,CABA,2020-02-28,grocery_and_pharmacy,7
Argentina,CABA,2020-02-28,parks,7
Argentina,CABA,2020-02-28,transit_stations,13
Argentina,CABA,2020-02-28,workplaces,9
Argentina,CABA,2020-02-28,residential,0
Argentina,CABA,2020-02-29,retail_and_recreation,16
Argentina,CABA,2020-02-29,grocery_and_pharmacy,15
Argentina,CABA,2020-02-29,parks,5
Argentina,CABA,2020-02-29,transit_stations,13
Argentina,CABA,2020-02-29,workplaces,-1
Argentina,CABA,2020-02-29,residential,2
Argentina,CABA,2020-03-01,retail_and_recreation,10
